country,stadium,total_requests
Germany,Los Angeles Stadium,112
Germany,Mexico City Stadium,108
Germany,Miami Stadium,112
Germany,Monterrey Stadium,102
Germany,New York New Jersey Stadium,898
Germany,Old Trafford,140
Germany,Philadelphia Stadium,131
Germany,San Francisco Bay Area Stadium,130
Germany,Seattle Stadium,112
Germany,Toronto Stadium,133
Germany,Wembley Stadium,147
Iran,Atlanta Stadium,173
Iran,BC Place Vancouver,158
Iran,Boston Stadium,152
Iran,Camp Nou,204
Iran,Dallas Stadium,151
Iran,Guadalajara Stadium,158
Iran,Houston Stadium,130
Iran,Kansas City Stadium,161
Iran,Los Angeles Stadium,151
Iran,Mexico City Stadium,161
Iran,Miami Stadium,163
Iran,Monterrey Stadium,125
Iran,New York New Jersey Stadium,1056
Iran,Old Trafford,180
Iran,Philadelphia Stadium,145
Iran,San Francisco Bay Area Stadium,158
Iran,Seattle Stadium,145
Iran,Toronto Stadium,157
Iran,Wembley Stadium,194
Japan,Atlanta Stadium,61
Japan,BC Place Vancouver,62
Japan,Boston Stadium,56
Japan,Camp Nou,75
Japan,Dallas Stadium,48
Japan,Guadalajara Stadium,59
Japan,Houston Stadium,64
Japan,Kansas City Stadium,49
Japan,Los Angeles Stadium,55
Japan,Mexico City Stadium,64
Japan,Miami Stadium,70
Japan,Monterrey Stadium,61
Japan,New York New Jersey Stadium,442
Japan,Old Trafford,75
Japan,Philadelphia Stadium,51
Japan,San Francisco Bay Area Stadium,61
Japan,Seattle Stadium,53
Japan,Toronto Stadium,57
Japan,Wembley Stadium,97
Mexico,Atlanta Stadium,52
Mexico,BC Place Vancouver,55
Mexico,Boston Stadium,59
Mexico,Camp Nou,54
Mexico,Dallas Stadium,38
Mexico,Guadalajara Stadium,43
Mexico,Houston Stadium,51
Mexico,Kansas City Stadium,51
Mexico,Los Angeles Stadium,62
Mexico,Mexico City Stadium,46
Mexico,Miami Stadium,50
Mexico,Monterrey Stadium,45
Mexico,New York New Jersey Stadium,355
Mexico,Old Trafford,58
Mexico,Philadelphia Stadium,43
Mexico,San Francisco Bay Area Stadium,74
Mexico,Seattle Stadium,51
Mexico,Toronto Stadium,42
Mexico,Wembley Stadium,56
Morocco,Atlanta Stadium,18
Morocco,BC Place Vancouver,13
Morocco,Boston Stadium,16
Morocco,Camp Nou,22
Morocco,Dallas Stadium,14
Morocco,Guadalajara Stadium,18
Morocco,Houston Stadium,16
Morocco,Kansas City Stadium,17
Morocco,Los Angeles Stadium,12
Morocco,Mexico City Stadium,16
Morocco,Miami Stadium,16
Morocco,Monterrey Stadium,14
Morocco,New York New Jersey Stadium,117
Morocco,Old Trafford,35
Morocco,Philadelphia Stadium,12
Morocco,San Francisco Bay Area Stadium,18
Morocco,Seattle Stadium,23
Morocco,Toronto Stadium,14
Morocco,Wembley Stadium,24
Spain,Atlanta Stadium,45
Spain,BC Place Vancouver,35
Spain,Boston Stadium,44
Spain,Camp Nou,38
Spain,Dallas Stadium,41
Spain,Guadalajara Stadium,36
Spain,Houston Stadium,40
Spain,Kansas City Stadium,33
Spain,Los Angeles Stadium,42
Spain,Mexico City Stadium,39
Spain,Miami Stadium,40
Spain,Monterrey Stadium,38
Spain,New York New Jersey Stadium,309
Spain,Old Trafford,47
Spain,Philadelphia Stadium,44
Spain,San Francisco Bay Area Stadium,38
Spain,Seattle Stadium,38
Spain,Toronto Stadium,39
Spain,Wembley Stadium,60
USA,Atlanta Stadium,98
USA,BC Place Vancouver,112
USA,Boston Stadium,110
USA,Camp Nou,138
USA,Dallas Stadium,102
USA,Guadalajara Stadium,108
USA,Houston Stadium,93
USA,Kansas City Stadium,119
USA,Los Angeles Stadium,98
USA,Mexico City Stadium,94
USA,Miami Stadium,109
USA,Monterrey Stadium,107
USA,New York New Jersey Stadium,738
USA,Old Trafford,117
USA,Philadelphia Stadium,101
USA,San Francisco Bay Area Stadium,126
USA,Seattle Stadium,99
USA,Toronto Stadium,98
USA,Wembley Stadium,135
