country,team,total_requests
France,Switzerland,51
France,USA,31
France,Uruguay,46
France,Wakanda,31
Germany,Argentina,636
Germany,Atlantis,53
Germany,Australia,60
Germany,Belgium,61
Germany,Brazil,69
Germany,Canada,65
Germany,Colombia,53
Germany,Croatia,70
Germany,Denmark,68
Germany,Ecuador,64
Germany,El Dorado,57
Germany,England,59
Germany,France,50
Germany,Genovia,57
Germany,Germany,2485
Germany,Iran,61
Germany,Italy,57
Germany,Japan,57
Germany,Mexico,60
Germany,Morocco,57
Germany,Netherlands,63
Germany,Nigeria,43
Germany,Norway,57
Germany,Portugal,63
Germany,Saudi Arabia,55
Germany,Senegal,54
Germany,Serbia,56
Germany,South Korea,54
Germany,Spain,61
Germany,Sweden,40
Germany,Switzerland,46
Germany,USA,63
Germany,Uruguay,57
Germany,Wakanda,52
Iran,Argentina,3993
Iran,Atlantis,65
Iran,Australia,90
Iran,Belgium,81
Iran,Brazil,78
Iran,Canada,77
Iran,Colombia,70
Iran,Croatia,65
Iran,Denmark,81
Iran,Ecuador,67
Iran,El Dorado,65
Iran,England,86
Iran,France,68
Iran,Genovia,75
Iran,Germany,74
Iran,Iran,71
Iran,Italy,93
Iran,Japan,79
Iran,Mexico,70
Iran,Morocco,77
Iran,Netherlands,83
Iran,Nigeria,101
Iran,Norway,76
Iran,Portugal,81
Iran,Saudi Arabia,66
Iran,Senegal,72
Iran,Serbia,57
Iran,South Korea,82
Iran,Spain,72
Iran,Sweden,68
Iran,Switzerland,71
Iran,USA,75
Iran,Uruguay,72
Iran,Wakanda,72
Japan,Argentina,327
Japan,Atlantis,25
Japan,Australia,18
Japan,Belgium,33
Japan,Brazil,30
Japan,Canada,24
Japan,Colombia,39
Japan,Croatia,29
Japan,Denmark,31
Japan,Ecuador,32
Japan,El Dorado,22
Japan,England,28
Japan,France,36
Japan,Genovia,24
Japan,Germany,21
Japan,Iran,29
Japan,Italy,29
Japan,Japan,1226
Japan,Mexico,35
Japan,Morocco,27
Japan,Netherlands,26
Japan,Nigeria,36
Japan,Norway,31
Japan,Portugal,28
Japan,Saudi Arabia,27
Japan,Senegal,40
Japan,Serbia,27
Japan,South Korea,24
Japan,Spain,25
Japan,Sweden,32
Japan,Switzerland,42
Japan,USA,28
Japan,Uruguay,31
Japan,Wakanda,25
Mexico,Argentina,254
Mexico,Atlantis,24
Mexico,Australia,23
Mexico,Belgium,28
Mexico,Brazil,30
Mexico,Canada,19
Mexico,Colombia,24
Mexico,Croatia,23
Mexico,Denmark,29
Mexico,Ecuador,15
Mexico,El Dorado,20
Mexico,England,24
Mexico,France,27
Mexico,Genovia,21
Mexico,Germany,18
Mexico,Iran,25
Mexico,Italy,27
Mexico,Japan,23
Mexico,Mexico,1067
Mexico,Morocco,22
Mexico,Netherlands,18
Mexico,Nigeria,16
Mexico,Norway,20
Mexico,Portugal,33
Mexico,Saudi Arabia,32
Mexico,Senegal,22
Mexico,Serbia,25
Mexico,South Korea,32
Mexico,Spain,30
Mexico,Sweden,23
Mexico,Switzerland,24
Mexico,USA,29
Mexico,Uruguay,24
Mexico,Wakanda,24
Morocco,Argentina,79
Morocco,Atlantis,8
Morocco,Australia,9
Morocco,Belgium,7
Morocco,Brazil,9
Morocco,Canada,9
Morocco,Colombia,9
Morocco,Croatia,12
Morocco,Denmark,8
Morocco,Ecuador,7
Morocco,El Dorado,5
Morocco,England,7
Morocco,France,4
Morocco,Genovia,8
Morocco,Germany,9
Morocco,Iran,9
Morocco,Italy,7
Morocco,Japan,7
Morocco,Mexico,9
Morocco,Morocco,335
Morocco,Netherlands,7
Morocco,Nigeria,6
Morocco,Norway,6
Morocco,Portugal,8
Morocco,Saudi Arabia,8
Morocco,Senegal,10
Morocco,Serbia,11
Morocco,South Korea,12
Morocco,Spain,9
Morocco,Sweden,3
Morocco,Switzerland,8
Morocco,USA,4
Morocco,Uruguay,9
Morocco,Wakanda,8
Spain,Argentina,241
Spain,Atlantis,16
Spain,Australia,26
Spain,Belgium,27
Spain,Brazil,14
Spain,Canada,17
Spain,Colombia,21
Spain,Croatia,23
Spain,Denmark,18
Spain,Ecuador,18
Spain,El Dorado,15
Spain,England,25
Spain,France,23
Spain,Genovia,27
Spain,Germany,22
Spain,Iran,22
Spain,Italy,16
Spain,Japan,15
Spain,Mexico,22
Spain,Morocco,22
Spain,Netherlands,19
Spain,Nigeria,15
Spain,Norway,21
Spain,Portugal,26
Spain,Saudi Arabia,23
Spain,Senegal,25
Spain,Serbia,19
Spain,South Korea,16
Spain,Spain,853
Spain,Sweden,28
Spain,Switzerland,22
Spain,USA,26
Spain,Uruguay,30
Spain,Wakanda,13
USA,Argentina,559
USA,Atlantis,52
USA,Australia,46
USA,Belgium,46
USA,Brazil,60
USA,Canada,59
USA,Colombia,52
USA,Croatia,50
USA,Denmark,53
USA,Ecuador,48
USA,El Dorado,43
USA,England,40
USA,France,64
USA,Genovia,49
USA,Germany,38
USA,Iran,56
USA,Italy,41
USA,Japan,56
USA,Mexico,63
USA,Morocco,77
USA,Netherlands,46
USA,Nigeria,51
USA,Norway,57
USA,Portugal,41
USA,Saudi Arabia,40
USA,Senegal,57
USA,Serbia,55
USA,South Korea,36
USA,Spain,52
USA,Sweden,56
USA,Switzerland,54
USA,USA,2180
USA,Uruguay,50
USA,Wakanda,41
